Type,Name,Age,Breed,Gender,Color,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,VideoAmt,PhotoAmt,AdoptionSpeed
1,1,3,1,2,2,1,1,3,3,3,2,1,0,0,0.0,3
2,1,3,1,3,3,1,2,1,1,2,1,2,0,0,15.0,2
2,1,5,1,1,2,2,1,2,1,2,1,1,30,0,4.0,4
1,1,24,1,2,1,2,2,1,1,1,1,1,0,0,2.0,2
1,1,4,1,1,1,3,2,2,2,2,1,1,0,0,3.0,1
2,1,2,1,3,3,1,1,3,3,3,1,6,0,0,1.0,4
2,1,1,1,2,1,2,1,2,2,2,1,1,0,0,5.0,1
1,1,9,1,1,2,2,1,1,1,3,1,1,0,0,2.0,4
1,1,60,1,2,2,2,1,2,2,1,1,1,0,0,2.0,4
1,1,2,1,1,2,2,2,2,2,2,1,1,0,0,5.0,2
1,1,2,2,3,3,2,3,1,1,2,1,7,0,0,21.0,3
1,1,48,1,2,2,2,2,1,1,2,1,1,0,0,5.0,1
2,0,3,1,2,1,2,1,2,2,2,1,1,0,0,1.0,4
2,1,4,1,1,2,1,1,2,1,2,1,2,0,0,1.0,2
2,1,9,1,2,2,2,1,2,2,2,1,1,0,0,1.0,2
1,1,62,1,1,3,2,2,1,1,1,1,1,0,0,3.0,4
1,1,36,1,2,2,2,1,1,1,1,1,5,0,0,1.0,4
1,1,1,2,2,2,2,2,2,1,2,1,1,0,0,1.0,3
1,1,2,2,1,3,1,1,1,3,2,1,1,0,0,5.0,1
1,1,2,1,1,2,1,1,1,1,2,1,1,0,0,3.0,4
1,1,1,2,3,3,2,2,2,2,2,1,9,100,0,5.0,2
1,1,2,1,2,2,2,1,2,1,2,1,1,0,0,1.0,0
1,1,2,1,2,1,3,1,1,1,2,1,2,0,1,3.0,4
1,1,12,1,2,1,2,1,1,1,1,1,1,0,0,3.0,3
1,1,2,2,1,1,2,2,1,1,2,1,1,0,0,5.0,1
1,0,1,1,2,2,2,1,1,1,2,1,1,0,0,1.0,3
1,1,2,1,2,2,2,1,1,2,2,1,1,0,0,1.0,4
1,1,3,1,1,2,1,3,1,1,3,1,1,750,0,2.0,1
1,1,3,1,1,2,2,2,2,1,2,1,1,0,0,1.0,2
1,1,3,2,1,1,2,2,3,3,2,1,1,0,0,3.0,3
2,1,6,1,2,2,2,2,2,1,2,1,1,50,0,4.0,3
1,1,1,1,2,2,2,2,2,2,2,1,2,0,0,3.0,2
2,1,47,2,2,2,2,3,2,2,2,1,1,0,0,2.0,4
1,1,2,2,1,2,3,2,3,3,3,1,1,0,0,4.0,2
1,1,12,1,2,1,2,2,1,1,1,1,1,0,3,11.0,3
1,1,2,2,1,2,2,1,1,1,2,1,1,0,4,18.0,3
1,1,1,1,1,1,2,1,2,2,2,1,1,0,0,5.0,3
2,1,1,2,3,3,1,2,2,2,2,1,2,0,0,3.0,4
1,0,1,2,3,2,2,1,2,2,2,1,5,0,0,0.0,4
2,1,24,1,1,1,3,1,2,2,2,2,1,0,0,12.0,3
2,1,24,1,2,2,2,1,2,2,1,1,1,0,0,1.0,4
1,1,2,1,1,2,2,1,2,2,2,1,1,0,0,2.0,3
2,1,19,1,2,2,3,3,1,1,2,1,1,0,0,3.0,1
1,1,4,2,2,1,1,3,3,1,1,1,1,0,0,3.0,3
1,1,24,1,1,2,2,1,2,2,2,1,1,0,0,3.0,3
2,0,3,1,1,2,2,2,3,3,2,1,1,0,0,1.0,1
2,0,1,1,3,2,1,2,2,2,2,1,2,0,0,1.0,2
1,1,24,2,2,3,2,2,3,3,1,1,1,0,0,2.0,2
1,1,60,1,1,1,2,2,1,1,1,1,1,0,0,3.0,4
1,1,1,2,2,3,2,2,1,1,2,1,1,0,0,1.0,3
2,1,3,1,2,2,1,1,1,1,2,1,1,0,0,7.0,1
2,1,2,1,1,1,1,2,2,2,2,1,1,0,0,2.0,2
2,1,1,2,3,2,2,1,1,1,2,1,2,1,0,3.0,0
1,1,2,1,2,2,2,1,2,2,2,1,1,0,0,2.0,3
2,0,2,1,2,2,2,1,2,1,2,1,1,0,0,2.0,1
1,1,3,1,2,1,2,1,1,1,2,1,1,0,0,4.0,4
1,0,2,2,2,3,3,1,2,2,2,1,6,0,0,5.0,3
2,1,12,1,2,3,2,2,1,2,1,1,2,0,0,1.0,4
2,1,4,2,2,2,2,1,1,1,2,1,1,0,0,5.0,2
1,0,120,1,1,3,3,1,3,3,3,1,1,0,0,3.0,4
1,1,3,1,2,1,2,1,2,2,2,1,1,0,0,4.0,4
2,0,1,1,3,3,1,2,2,2,2,1,4,0,0,2.0,4
1,1,36,1,2,3,3,2,1,1,2,1,1,0,0,4.0,1
2,0,3,1,2,3,1,1,2,1,2,1,1,0,0,3.0,4
2,1,60,1,1,1,2,2,1,1,2,1,1,0,0,0.0,4
2,1,1,1,2,3,2,1,2,1,3,1,1,0,0,4.0,1
1,0,3,1,3,3,2,2,1,1,2,1,3,150,0,3.0,1
1,1,36,1,1,2,3,1,1,1,1,1,1,0,0,4.0,2
1,1,12,1,1,3,2,2,1,2,2,1,1,400,0,1.0,2
2,1,1,1,3,3,1,1,2,3,2,1,4,0,0,3.0,3
1,1,0,2,3,3,3,1,3,3,3,1,2,0,0,4.0,1
2,1,1,1,1,2,1,2,2,2,2,1,1,0,1,1.0,2
1,1,5,2,1,2,2,1,1,1,1,1,1,0,0,6.0,3
1,1,24,2,2,2,2,2,3,3,3,1,1,0,0,3.0,3
1,1,3,1,1,1,2,2,1,1,2,1,1,0,0,3.0,1
1,1,3,1,2,1,1,1,3,3,3,1,3,0,0,1.0,4
1,1,4,1,2,1,2,1,2,1,2,1,1,0,0,5.0,4
2,1,3,1,3,2,2,2,3,3,3,1,2,0,0,3.0,1
2,1,1,1,2,2,1,2,2,2,2,1,5,0,0,3.0,2
2,1,8,2,1,2,2,1,1,1,2,1,1,50,0,8.0,2
2,1,2,2,3,2,2,1,2,2,2,1,2,0,0,2.0,4
1,1,32,2,3,3,2,1,1,1,1,1,2,0,0,5.0,4
1,1,3,2,3,2,3,1,1,1,2,1,3,0,0,4.0,2
2,1,12,1,1,1,2,2,2,2,2,1,1,0,0,1.0,3
1,1,4,2,2,3,2,2,1,1,1,1,1,0,0,10.0,3
1,1,2,1,1,2,2,1,2,3,2,1,1,0,0,3.0,2
2,1,7,2,2,3,2,1,1,1,2,1,1,0,0,7.0,2
2,1,5,1,1,1,2,3,2,1,2,1,1,100,0,5.0,3
2,1,2,1,2,2,2,2,1,1,2,1,2,0,0,4.0,2
1,1,60,1,2,2,2,1,1,1,1,1,1,0,0,2.0,3
2,1,4,2,3,3,2,2,2,2,2,1,5,0,0,5.0,2
1,0,120,2,1,1,2,1,1,1,2,1,2,0,0,1.0,1
1,1,12,1,2,1,2,1,1,1,1,1,1,0,0,2.0,2
2,1,17,1,2,3,1,1,3,3,1,1,1,0,0,3.0,3
2,1,2,1,3,3,2,1,2,2,2,1,2,0,0,2.0,2
1,1,48,2,1,2,2,2,1,1,1,1,1,0,0,2.0,2
1,1,4,1,2,2,2,1,1,2,2,1,1,0,0,2.0,3
2,1,12,1,2,2,2,2,3,1,1,1,1,0,0,2.0,3
2,1,12,2,1,2,3,3,2,1,2,1,1,0,0,2.0,1
2,1,3,1,2,2,2,1,1,1,2,1,1,0,1,3.0,2
1,1,1,1,3,3,2,2,2,2,2,1,3,0,0,11.0,4
1,0,36,1,2,2,3,2,3,3,3,2,1,0,0,4.0,3
1,1,12,1,2,2,2,1,3,3,3,1,1,0,1,1.0,4
1,1,2,1,2,2,2,2,1,1,2,1,1,80,0,1.0,4
1,1,36,1,1,1,2,1,1,1,1,1,1,0,0,1.0,2
2,1,1,1,3,3,2,2,2,2,2,1,3,0,0,13.0,2
2,1,1,1,2,2,1,1,2,2,2,1,1,0,0,3.0,1
1,0,0,1,2,2,2,2,3,3,3,1,5,0,0,5.0,1
1,1,2,1,2,1,2,1,1,1,2,1,1,0,0,4.0,1
1,1,2,1,3,3,2,1,1,1,2,1,3,30,0,3.0,3
1,0,2,2,3,1,2,2,2,2,2,1,3,0,0,5.0,4
2,0,36,1,3,3,2,2,1,1,1,1,5,0,0,0.0,4
1,1,3,1,3,3,2,1,3,3,3,1,5,0,0,1.0,4
1,1,2,1,2,2,2,2,1,1,2,1,1,0,0,4.0,3
1,1,1,1,2,3,3,1,3,1,3,1,1,0,0,2.0,2
2,1,2,1,2,2,2,1,2,1,2,1,1,0,0,3.0,2
2,1,2,2,1,2,1,1,2,2,2,1,1,0,0,1.0,0
1,1,2,1,2,2,2,1,1,1,2,1,1,80,0,9.0,2
2,1,3,1,1,1,2,1,3,1,2,1,1,0,0,3.0,4
1,1,17,1,1,1,2,2,1,1,1,1,1,150,0,1.0,4
1,1,2,1,3,3,2,1,3,3,3,1,8,0,0,5.0,3
2,1,48,1,1,3,3,1,1,1,2,1,1,20,0,4.0,2
2,1,1,1,1,2,2,1,2,2,2,1,1,0,0,1.0,2
2,1,5,2,2,2,2,2,2,2,2,1,1,150,0,4.0,2
1,1,8,2,1,2,2,1,3,3,1,1,1,0,0,3.0,2
1,1,4,2,2,1,1,1,1,1,1,1,1,0,0,2.0,4
1,1,3,1,1,2,2,1,1,1,2,1,1,0,0,3.0,3
2,1,72,1,1,2,2,1,1,1,1,1,1,0,0,10.0,4
2,1,12,2,2,3,2,1,3,3,3,1,5,0,0,4.0,4
1,0,12,1,2,2,2,2,2,1,2,1,1,0,0,2.0,4
2,1,12,2,1,2,2,1,1,1,1,1,2,0,0,2.0,4
1,1,22,1,1,3,2,1,1,1,2,1,1,0,0,0.0,3
1,1,36,1,1,1,2,2,3,3,2,1,1,0,0,3.0,4
1,1,2,1,1,1,2,2,3,3,2,1,1,0,0,1.0,3
2,1,4,1,2,2,2,1,3,3,1,1,5,0,0,1.0,4
1,1,12,1,2,1,2,2,1,1,2,1,1,0,0,5.0,2
1,1,7,1,1,2,1,1,2,2,2,1,1,50,1,1.0,4
1,0,2,1,1,2,2,1,2,2,2,1,1,0,0,4.0,1
1,1,3,1,2,2,1,1,2,1,3,1,3,0,0,2.0,4
1,1,24,1,2,2,2,1,1,1,1,1,1,0,0,24.0,4
1,1,1,1,2,1,2,3,2,2,2,1,1,0,0,3.0,1
1,1,1,1,2,1,2,1,2,2,2,1,1,0,0,1.0,2
1,1,3,1,1,1,3,1,1,1,2,1,2,0,0,9.0,2
2,1,5,1,1,2,1,1,1,2,3,1,1,0,0,4.0,4
1,1,16,2,2,2,1,1,1,1,3,1,1,0,0,3.0,1
2,1,2,1,1,3,2,1,1,1,2,1,1,0,0,5.0,2
2,1,2,1,1,1,1,2,3,3,3,1,1,0,0,6.0,4
1,1,7,2,1,1,2,1,1,1,3,1,1,0,0,8.0,1
2,1,13,1,2,2,2,1,2,1,2,1,1,0,0,5.0,4
1,1,3,1,1,2,2,1,1,1,1,1,1,0,0,3.0,3
1,1,12,1,1,2,2,1,1,1,2,1,1,0,0,1.0,4
2,1,3,1,1,2,1,1,1,1,2,1,1,0,0,9.0,2
1,1,2,2,2,2,2,2,2,2,2,1,1,0,0,1.0,4
2,1,10,1,2,1,2,1,1,1,1,1,1,0,0,8.0,3
1,1,2,1,2,3,2,1,2,1,2,1,1,0,0,5.0,1
1,1,2,1,1,3,2,1,2,2,2,1,1,0,0,2.0,3
2,1,4,1,2,3,3,1,2,2,2,1,1,0,0,8.0,1
1,1,60,2,1,3,2,2,1,1,1,1,1,0,0,5.0,3
2,1,2,1,2,3,2,1,2,2,2,1,6,30,0,6.0,4
2,1,12,1,2,3,2,1,1,1,1,1,1,0,0,2.0,4
2,1,2,2,2,3,1,1,2,2,2,1,1,0,0,5.0,1
2,1,0,2,3,2,2,1,2,2,2,2,3,0,0,1.0,1
1,1,2,2,3,2,3,1,1,1,2,1,3,0,1,8.0,3
2,1,6,1,2,2,2,1,2,1,1,1,1,0,0,5.0,4
1,1,3,1,2,2,3,1,3,3,2,1,1,0,0,2.0,2
1,1,1,1,2,1,2,2,2,1,2,1,1,0,0,4.0,1
1,1,2,1,2,3,1,1,2,2,2,1,4,0,0,5.0,1
2,1,3,1,1,2,2,2,2,2,2,1,1,50,0,3.0,1
1,1,19,1,2,1,2,1,1,1,1,1,1,80,0,3.0,4
2,1,11,1,2,3,2,1,1,1,1,1,1,50,0,5.0,4
1,1,37,1,2,3,2,1,1,1,1,1,1,0,0,5.0,4
2,1,4,2,2,2,1,3,2,2,3,1,1,250,0,3.0,2
1,1,3,2,1,1,2,1,2,1,1,1,1,0,0,6.0,1
1,1,6,1,1,3,2,1,1,1,1,1,1,0,0,1.0,3
2,1,1,1,2,2,2,1,2,2,2,1,1,0,0,7.0,2
1,1,5,1,1,2,2,1,3,3,3,1,1,0,0,0.0,4
1,1,1,1,3,1,2,1,2,2,2,1,6,0,0,5.0,3
2,1,7,1,1,2,2,1,2,1,2,1,1,0,0,2.0,2
1,1,4,1,2,2,2,2,2,1,2,1,1,1,0,1.0,4
2,1,1,1,2,3,2,1,2,2,2,1,1,0,0,0.0,4
1,1,48,1,2,1,2,1,1,1,1,1,1,0,0,1.0,3
1,1,3,2,2,1,1,1,2,2,2,1,1,0,0,3.0,1
1,1,2,1,1,3,2,2,1,1,2,1,1,0,0,1.0,1
2,1,4,1,1,2,1,1,1,1,3,1,1,0,0,5.0,1
1,1,22,1,2,2,2,1,1,1,2,1,1,0,0,3.0,1
1,1,60,2,2,1,1,3,1,1,1,1,1,0,0,3.0,1
1,1,1,2,3,3,2,2,2,2,2,1,4,0,0,2.0,1
1,1,3,2,1,1,2,1,3,3,2,1,1,0,0,2.0,2
2,1,3,2,2,3,2,1,2,1,2,1,4,0,0,5.0,2
2,1,4,1,2,1,2,2,3,3,3,1,1,0,1,4.0,2
2,1,13,2,2,2,2,2,1,1,2,1,1,0,0,3.0,1
2,1,1,1,1,2,1,1,3,3,3,1,1,0,0,1.0,3
1,1,5,1,2,1,2,2,1,1,2,1,1,0,0,8.0,1
1,1,2,1,2,2,2,2,2,1,2,1,1,0,0,12.0,3
2,0,1,1,3,2,2,2,2,2,2,1,3,0,0,4.0,1
1,1,2,2,2,2,2,1,1,1,2,1,1,0,1,9.0,2
1,1,36,1,2,1,2,1,1,1,1,1,1,0,0,1.0,3
1,1,2,1,2,2,2,1,1,1,2,1,1,0,1,4.0,4
1,1,2,2,2,2,2,2,2,1,2,1,1,0,0,4.0,2
2,1,2,1,2,2,2,1,2,1,2,1,1,0,0,3.0,1
2,1,8,1,1,1,2,1,1,1,1,1,1,0,0,2.0,2
2,1,2,1,2,3,2,2,1,1,2,1,1,0,0,4.0,3
2,1,9,1,2,3,1,1,1,1,1,1,1,0,0,3.0,2
2,1,6,2,2,1,2,1,3,3,3,1,1,0,0,4.0,2
1,1,2,1,2,2,2,1,2,2,2,1,3,0,0,3.0,2
1,1,18,2,2,2,2,1,1,1,1,1,1,0,0,10.0,0
1,1,14,1,1,1,3,2,1,1,1,1,1,0,0,3.0,0
2,1,3,1,1,2,1,1,2,2,2,1,2,0,0,9.0,3
2,0,2,1,1,1,2,1,2,1,2,1,1,0,0,2.0,1
1,1,1,2,3,3,3,1,2,1,2,1,20,50,0,5.0,4
2,1,12,1,1,3,2,2,1,1,1,1,1,0,0,1.0,4
2,1,12,2,2,2,2,1,2,3,1,1,1,0,0,1.0,4
1,1,1,2,2,2,2,1,2,2,2,1,1,0,0,5.0,1
2,1,9,1,1,3,2,1,1,1,1,1,2,0,0,0.0,4
1,1,2,1,2,3,2,2,1,1,2,1,1,0,0,2.0,3
2,1,2,2,3,2,1,2,2,2,2,1,4,0,0,7.0,2
2,1,2,1,2,3,2,1,2,2,2,1,3,0,0,4.0,1
1,1,3,1,2,1,2,1,3,3,3,1,1,0,0,2.0,1
1,1,3,2,1,2,2,2,2,2,2,1,1,0,0,4.0,1
2,1,6,1,2,1,1,1,1,1,1,1,1,200,0,6.0,4
2,1,3,1,1,2,1,1,2,2,2,1,1,0,0,1.0,2
1,0,24,2,3,2,2,1,2,2,1,1,2,0,0,2.0,2
1,1,3,2,1,1,3,1,2,2,3,1,1,0,0,3.0,2
1,1,24,2,2,1,2,1,1,1,1,2,1,20,0,2.0,4
1,1,1,1,1,2,2,2,2,2,2,1,1,0,0,1.0,1
1,1,2,2,2,2,2,2,2,1,2,1,1,250,0,13.0,3
1,1,2,1,1,1,2,2,1,1,2,1,1,0,0,1.0,2
1,1,7,1,2,1,2,1,1,1,2,1,1,0,0,1.0,3
2,1,3,1,1,2,1,3,2,2,2,1,1,150,0,3.0,1
1,1,1,1,2,1,2,1,2,2,2,1,1,0,0,2.0,3
1,1,1,1,2,2,2,1,1,1,2,1,1,0,0,9.0,2
1,1,55,1,1,3,2,1,1,1,1,1,1,0,0,5.0,2
1,1,2,2,2,2,2,1,1,1,2,1,1,0,0,3.0,2
1,1,3,1,2,2,2,2,1,1,1,1,1,0,0,3.0,3
1,1,36,1,2,2,2,2,3,3,1,1,1,0,0,9.0,3
2,1,1,1,2,3,2,3,2,1,2,1,1,0,2,10.0,2
2,1,6,1,2,2,2,2,2,2,2,1,1,0,0,3.0,4
2,1,6,2,2,2,2,2,2,2,2,1,1,0,0,3.0,1
2,1,4,2,1,1,2,2,2,2,2,2,1,0,0,4.0,1
1,1,2,2,2,2,2,2,1,1,2,1,1,0,0,3.0,1
1,1,5,1,2,3,2,1,1,1,2,1,1,0,0,1.0,2
2,1,20,1,1,3,3,2,2,1,2,1,1,0,0,4.0,1
1,1,2,1,2,2,2,1,1,1,2,1,1,0,0,6.0,3
1,1,7,1,1,2,2,2,1,3,3,1,1,0,0,1.0,1
2,1,1,1,1,2,2,1,2,1,2,1,1,0,0,6.0,1
1,1,2,1,2,2,2,2,1,1,2,1,2,0,0,5.0,4
1,1,1,2,2,1,2,1,2,2,2,1,1,0,0,1.0,3
2,1,28,2,1,1,3,3,1,1,2,1,1,0,0,5.0,2
1,1,24,2,2,2,2,2,1,1,1,1,1,250,0,9.0,4
1,1,2,1,2,3,2,1,2,1,2,1,2,0,0,2.0,2
1,1,12,1,1,3,2,2,1,1,1,1,1,0,0,0.0,4
2,1,4,1,1,3,2,1,2,2,2,1,1,0,0,4.0,4
1,1,2,1,2,2,2,2,1,1,2,1,1,0,0,4.0,2
2,1,2,1,1,1,1,1,1,1,2,1,1,0,0,5.0,1
1,1,1,1,2,1,2,2,2,2,2,1,2,0,0,4.0,1
1,1,1,1,2,3,1,1,2,2,2,1,1,0,0,1.0,4
1,1,5,1,2,3,2,1,3,3,3,1,1,300,0,1.0,1
2,1,22,1,2,1,2,2,1,1,1,1,1,0,0,7.0,4
2,1,36,1,2,3,2,2,1,1,1,1,1,0,0,4.0,4
1,1,36,2,2,1,2,2,1,1,1,1,1,0,0,2.0,2
1,1,8,1,1,1,2,1,1,1,2,1,1,0,0,2.0,4
1,1,10,1,2,1,2,1,2,1,1,1,1,0,0,2.0,4
1,1,2,1,2,2,2,1,2,1,2,1,1,0,0,4.0,4
2,1,2,1,1,2,1,2,2,2,2,1,1,0,0,4.0,4
1,1,3,1,1,1,2,1,3,1,3,1,1,0,0,2.0,4
1,1,3,1,2,2,2,1,2,2,2,1,1,0,0,2.0,3
2,1,0,1,3,3,2,1,3,1,1,1,18,0,0,21.0,4
1,1,60,1,2,2,1,2,3,1,1,1,1,0,0,1.0,3
1,1,2,1,1,1,2,1,1,1,2,1,1,0,0,1.0,2
1,1,2,1,3,3,2,1,2,2,2,1,6,0,0,5.0,4
2,1,12,1,1,2,2,2,1,1,1,1,1,0,0,2.0,1
1,1,1,2,2,2,2,2,2,1,2,1,1,0,0,1.0,3
2,1,2,1,1,1,3,1,3,3,3,1,2,0,0,5.0,2
2,1,2,1,3,1,2,1,2,1,2,1,3,0,0,4.0,1
1,1,1,1,2,1,2,2,2,2,2,1,1,0,0,1.0,3
1,1,24,1,2,1,3,1,3,3,1,2,1,0,0,2.0,4
1,1,3,2,2,1,2,1,1,1,1,1,1,200,0,6.0,4
2,1,2,2,3,3,2,1,2,1,2,1,4,0,0,8.0,4
1,1,2,1,1,3,2,1,2,2,2,1,1,0,0,7.0,3
2,1,12,1,1,1,1,2,3,3,3,1,1,0,0,1.0,4
1,1,12,2,2,1,2,2,2,1,2,1,1,0,0,1.0,4
1,0,1,1,1,1,2,1,1,1,2,1,1,0,0,1.0,3
2,1,11,1,2,3,2,1,1,1,1,1,1,0,0,11.0,2
1,1,74,1,1,2,2,2,3,1,3,1,1,0,0,2.0,2
1,1,36,2,2,3,2,3,1,1,1,1,1,0,0,3.0,3
1,1,3,2,2,2,2,2,2,1,2,1,1,0,0,3.0,3
1,1,2,1,2,3,2,1,1,1,2,1,1,0,0,6.0,3
1,1,3,1,2,3,2,2,1,1,2,1,1,0,0,4.0,3
1,1,48,1,1,1,1,1,1,1,2,1,1,0,0,1.0,1
2,1,3,1,3,3,1,1,3,1,1,1,7,60,0,5.0,3
1,1,2,1,2,2,2,1,1,1,1,1,1,0,0,8.0,3
1,1,36,1,1,1,1,2,3,3,2,1,1,0,0,3.0,2
2,0,3,1,1,2,2,3,2,1,2,1,1,0,0,5.0,2
2,0,4,1,2,3,1,1,2,2,2,1,1,0,0,3.0,1
1,1,2,1,3,2,2,1,2,2,2,1,5,0,0,2.0,1
1,1,1,2,1,2,2,1,2,1,2,1,1,0,0,5.0,3
1,1,60,1,1,2,2,1,1,1,1,1,1,0,0,1.0,2
1,1,2,2,2,1,2,2,1,1,2,1,1,0,0,1.0,2
1,1,4,1,2,2,2,2,1,1,2,1,1,0,0,4.0,4
2,1,3,2,3,3,3,2,1,1,2,1,4,0,0,9.0,3
2,1,2,1,2,3,2,1,2,1,2,1,1,0,0,1.0,1
1,1,3,1,2,1,2,1,1,1,1,1,1,0,0,7.0,4
1,1,2,1,2,2,2,2,2,2,2,1,1,0,0,1.0,2
2,1,1,1,2,1,1,2,2,1,2,1,1,0,0,10.0,1
1,1,18,2,2,1,2,1,1,1,1,1,1,0,0,3.0,4
2,1,1,1,3,2,1,2,2,2,2,1,2,0,0,1.0,4
2,1,3,1,1,1,2,1,1,1,2,1,1,20,0,0.0,2
2,1,6,1,1,2,2,2,1,1,1,1,1,120,1,5.0,2
2,1,6,1,3,3,3,2,3,3,3,1,2,0,0,11.0,2
1,1,2,1,1,3,2,1,1,1,2,1,1,0,1,14.0,2
1,1,24,1,2,1,2,1,3,3,3,1,1,0,0,6.0,3
2,1,6,1,1,2,2,1,3,3,3,1,1,0,0,3.0,4
1,1,2,2,2,1,2,2,2,1,2,1,1,0,0,4.0,2
1,0,48,1,1,1,1,2,1,1,2,1,1,0,0,0.0,1
1,1,2,1,1,1,2,1,2,2,2,1,1,1,0,3.0,1
2,1,3,1,2,2,2,1,2,1,2,1,1,0,0,3.0,2
2,1,1,1,3,3,2,1,2,1,2,1,4,0,0,4.0,1
1,1,53,2,1,1,2,2,1,3,3,1,1,0,0,1.0,4
2,1,1,1,1,2,1,1,2,2,2,1,1,0,0,1.0,4
2,1,7,1,1,2,2,2,1,1,1,1,1,0,0,15.0,4
2,1,4,1,2,1,1,1,2,2,2,1,1,0,0,3.0,2
1,1,1,2,1,1,2,2,2,1,2,1,1,0,0,1.0,2
2,1,1,1,1,2,2,1,2,1,2,1,1,0,0,4.0,2
1,1,2,2,3,3,1,1,2,1,2,1,2,0,0,1.0,2
1,1,48,2,1,1,2,1,3,3,3,1,1,0,0,1.0,4
1,1,1,1,3,3,2,1,3,3,3,1,2,0,0,1.0,4
2,1,2,2,2,2,1,1,2,2,2,1,1,0,0,5.0,1
1,1,1,2,1,2,2,1,3,3,2,1,1,0,0,7.0,2
1,1,48,1,3,3,1,3,1,1,2,2,2,300,0,5.0,2
2,1,1,1,3,3,1,1,2,2,2,1,4,0,0,0.0,2
